,";",".","program","id",",","const","+","-","num","'","letter","array","[","]","of","record","integer","real","boolean","char","digits","..","epsilon","procedure","function","(",")","var","begin","end","assignop","if","then","else","for","to","do","read","write","relop","addop","mulop","not","uminus",":","=","while","$","program_struct","program_head","program_body","idlist","const_declarations","const_declaration","const_value","var_declarations","var_declaration","type","basic_type","record_type","field_list","fixed_fields","period","subprogram_declarations","subprogram","subprogram_head","subprogram_body","formal_parameter","parameter_list","parameter","var_parameter","value_parameter","compound_statement","statement_list","statement","variable_list","variable","id_varpart","procedure_call","else_part","expression_list","expression","simple_expression","term","factor",
0,,,S3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,S4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,S5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,S8,,,,,,,,,,,,,,,,,,R8,R8,,,R8,R8,,,,,,,,,,,,,,,,,,,,,,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,R3,,,,,,,,,,,,,,,,,,,,,,,,,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,S10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,R16,R16,,,S12,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,S14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,S16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,R30,R30,,,,R30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
12,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,S21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,S23,,,,,,,,,,,,,,,,,,,,,,S24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,R6,,,,,,,,,,,,,,,,,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,S28,S29,,,,S30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,26,,,,,,,27,,,,,,,,,,,,,
18,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,S33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,S34,,,,,,,,,,,,,,,,,,,,R7,R7,,,R7,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,S36,S37,S38,S39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,S40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,R2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,S41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,S42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,R4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,S43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,S44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,R58,,,S50,,,,,,,,,,,,,,,,,,,,,,,,,S51,R58,,S52,,,S53,,,S54,S55,,,,,,,,S56,,,,,,,,,,,,,,,,,,,,,,,,,,45,46,47,,48,,49,,,,,,,
31,,,,S57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,S61,,,,S62,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,59,60,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,S20,,,,,,,,,,,,,,,,,,,,R15,R15,,,,R15,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,S69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,S70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,R13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,S71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,R5,,,,,,,,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,,,,,,R29,R29,,,,R29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,S8,,,,,,,,,,,,,,,,,,R8,R8,,,R8,R8,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,
43,R35,,,,,,,,,,,,,,,,,,,,,,,,,S75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,S77,,,,,,,,,,,,,,,,,,,R35,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,
45,R52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,S78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,R49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,R65,S82,,,,,,,,,,,S83,,,,,,,,,,,,,S84,,,,R65,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,
51,R58,,,S50,,,,,,,,,,,,,,,,,,,,,,,,,S51,R58,,S52,,,S53,,,S54,S55,,,,,,,,S56,,,,,,,,,,,,,,,,,,,,,,,,,,45,85,47,,48,,49,,,,,,,
52,,,,S91,,,,S92,S93,S94,,,,,,,,,,,,,,,,S95,,,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,87,88,89,90,
53,,,,S97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,S98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,S99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,S105,,,,S106,S107,S108,,,,,,,,,,,,,,,,S109,,,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,101,102,103,104,
57,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,R18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,R21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,S111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,113,114,,,,,,,,,,,,,,,,,,,,,,,,
63,R42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,R43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,R44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,R45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,S36,S37,S38,S39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,R11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,R12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,S117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,S119,R16,,,,,,,,,,,,,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,R31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,R32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,S125,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,121,122,123,124,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,S20,,,,,,,,,,,,,,,,,,,,,,,,S125,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,127,122,123,124,,,,,,,,,,,,,,
78,R58,,,S50,,,,,,,,,,,,,,,,,,,,,,,,,S51,R58,,S52,,,S53,,,S54,S55,,,,,,,,S56,,,,,,,,,,,,,,,,,,,,,,,,,,45,,128,,48,,49,,,,,,,
79,,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,S134,,,,S135,S136,S137,,,,,,,,,,,,,,,,S138,,,,,,,,,,,,,,,,,S139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,,,,,130,131,132,133,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,S141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,
83,,,,S148,,,,S149,S150,S151,,,,,,,,,,,,,,,,S152,,,,,,,,,,,,,,,,,S153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,143,144,145,146,147,
84,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,155,156,157,158,159,
85,S78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R78,,,,,,,R78,R78,R78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R72,,,,,,,S168,S169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R74,,,,,,,R74,R74,S170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,,,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,S172,,,,,,,,,,,S173,,,,,,,,,,,,,S174,,,,,,,R64,,,,,,,R64,R64,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,
92,,,,S91,,,,S92,S93,S94,,,,,,,,,,,,,,,,S95,,,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,175,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,,,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,S176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,S182,,,,S183,S184,S185,,,,,,,,,,,,,,,,S186,,,,,,,,,,,,,,,,,S187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,178,179,180,181,
96,,,,S91,,,,S92,S93,S94,,,,,,,,,,,,,,,,S95,,,,,,,,,,,,,,,,,S96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,188,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,S192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,191,,,,,,,,,
99,,,,S160,,,,S161,S162,S163,,,,,,,,,,,,,,,,S164,,,,,,,,,,,,,,,,,S165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,,,,193,156,157,158,159,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R78,,,R78,R78,R78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R72,,,S195,S196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R74,,,R74,R74,S197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R76,,,R76,R76,R76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,S199,,,,,,,,,,,S200,,,,,,,,,,,,,S201,,,,,,,,,,,R64,,,R64,R64,R64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,
106,,,,S105,,,,S106,S107,S108,,,,,,,,,,,,,,,,S109,,,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,202,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R77,,,R77,R77,R77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,S203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,S182,,,,S183,S184,S185,,,,,,,,,,,,,,,,S186,,,,,,,,,,,,,,,,,S187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,,,,,204,179,180,181,
110,,,,S105,,,,S106,S107,S108,,,,,,,,,,,,,,,,S109,,,,,,,,,,,,,,,,,S110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,205,
111,,,,,,,,,S207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,S31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,S210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,S61,,,,S62,S63,S64,S65,S66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,59,60,,,,,,,,,,,,,,,,,,,,,,,,,,
116,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,R14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
